key,name,capacity,semester,initialWeek,weeks,avenue,typeUF
MA1001B,Modelación estadística para la toma de decisiones,30,3,1,5,ICI,B
MA1002B, Modelación de sistemas con ecuaciones diferenciales,30,3,6,5,ICI,B
MA2003B,Aplicación de métodos multivariados en ciencia de datos ,30,5,1,5,ICI,B
MA2004B,Optimización estocástica,30,5,6,5,ICI,B
MA2005B,Aplicación de criptografía y seguridad,30,5,11,5,ICI,B
F1001B,Modelación de la Ingeniería y Ciencias,24,1,1,5,IIT|ICT|IBQ|ICI,B
F1002B,Modelación del movimiento en bioingeniería y procesos químicos,24,1,6,5,IBQ,B
F1003B,Aplicación de las leyes de conservación en ingeniería de procesos,24,1,11,5,IBQ,B
F1004B,Modelación computacional del movimiento,24,1,6,5,ICT,B
F1005B,Modelación computacional aplicando las leyes de conservación,24,1,11,5,ICT,B
F1006B,Modelación del movimiento en ingeniería,24,1,6,5,IIT,B
F1007B,Aplicación de las leyes de conservación en sistemas ingenieriles,24,1,11,5,IIT,B
F1008B,Modelación del movimiento en ciencias ,24,1,6,5,ICI,B
F1009B,Aplicación de las leyes de conservación en ciencias,24,1,11,5,ICI,B
AR1007B/F1023B,Modelación de la física en el ambiente construido: Estática ,24,3,6,5,IC,B
AR1008B/F1024B,Modelación de la física en el ambiente construido: Dinámica,24,3,11,5,IC,B
F1015B,Aplicación de la termodinámica en sistemas ingenieriles,24,2,1,5,IIT,B
F1016B,Análisis de sistemas eléctricos en sistemas ingenieriles,24,2,6,5,IIT,B
F1017B,Análisis de sistemas electromagnéticos en sistemas ingenieriles,24,2,11,5,IIT,B
F1021B,Ciencia tecnología y sociedad,30,3,1,5,EG,B
F1022B,Sistemas electromagnéticos para la construcción ,30,3,1,5,EG,B
F2010B,Fundamentos de la acústica ,30,3,1,5,EG,B